Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
0,6110 WHELESS CV APT C,"Austin, TX",78723.0,2,1,750,2,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator, Water Heater-electric",99328.0,yes,no,no,no,USA
1,2208 DEL CURTO RD,"Austin, TX",78704.0,1,1,575,1,Yes,"Electric Range, Microwave, Refrigerator",132576.0,no,no,no,no,USA
2,412 W ALPINE RD,"Austin, TX",78704.0,1,1,654,2,Yes,"Dishwasher, Gas Range, Refrigerator, See Remarks",128836.0,yes,no,no,no,USA
3,502 W 35TH ST APT 105,"Austin, TX",78705.0,1,1,425,1,Yes,"Dryer, Free-standing Range, Refrigerator, Washer",82704.0,no,no,no,no,USA
4,2502 LEON ST APT 415,"Austin, TX",78705.0,2,2,868,2,Yes,"Dishwasher, Disposal, Energy Star Qualified Appliances, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",124264.0,yes,no,no,no,USA
5,4709 HARMON AVE APT 312,"Austin, TX",78751.0,1,1,640,1,Yes,"Cooktop Gas, Oven, Free-standing Range, Refrigerator, Stainless Steel Appliance(s)",72730.0,no,no,no,no,USA
6,2509 ALLRED DR APT A,"Austin, TX",78748.0,2,3,"1,363",2,Yes,"Dishwasher, Gas Range, Free-standing Range, Refrigerator, Water Heater-gas",174552.0,yes,no,no,no,USA
7,7906 WEST GATE BLVD # A,"Austin, TX",78745.0,2,2,914,2,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator",132992.0,yes,no,no,no,USA
8,2815 RIO GRANDE ST APT 105,"Austin, TX",78705.0,1,1,369,1,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator",93510.0,yes,no,no,no,USA
9,12300 PATRON DR # A,"Austin, TX",78758.0,2,2,"1,784",2,Yes,"Dishwasher, Disposal, Gas Range, Refrigerator",137148.0,yes,no,no,no,USA
10,12307 DEER FALLS DR # A,"Austin, TX",78729.0,2,3,"1,964",2,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range",137148.0,yes,no,no,no,USA
11,6003 COUGAR DR APT B,"Austin, TX",78745.0,2,2,"1,000",2,Yes,"Dishwasher, Disposal, Gas Range, Free-standing Range, Refrigerator",137148.0,yes,no,no,no,USA
12,1813 GRACY FARMS LN # B,"Austin, TX",78758.0,2,1,840,2,Yes,"Dishwasher, Disposal, Free-standing Gas Range, Free-standing Refrigerator, Water Heater-gas",128836.0,yes,no,no,no,USA
13,1406 ALMA DR,"Austin, TX",78753.0,2,2,"1,010",2,Yes,"Dishwasher, Disposal, Free-standing Electric Oven",156182.0,yes,no,no,no,USA
14,114 E 31ST ST APT 214,"Austin, TX",78705.0,1,1,600,1,Yes,"Dishwasher, Disposal, Dryer, Electric Cooktop, Electric Range, Freezer, Microwave, Oven, Electric Oven, Range, Refrigerator, Washer/Dryer Stacked",126758.0,yes,no,no,no,USA
15,3306 MCELROY DR,"Austin, TX",78757.0,2,1,892,1,Yes,"Built-in Gas Range, Dishwasher, Dryer, Refrigerator, Washer",156182.0,no,no,no,no,USA
16,1600 BARTON SPRINGS RD UNIT 5304,"Austin, TX",78704.0,1,1,681,1,Yes,"Dishwasher, Disposal, Cooktop Gas, Gas Range, Microwave, Refrigerator, Self Cleaning Oven",195332.0,yes,no,no,no,USA
17,12001 VISTA PARKE DR APT 604,"Austin, TX",78726.0,2,2,"1,422",2,Yes,"Built-in Oven(s), Built-in Range, Cooktop, Dishwasher, Disposal, Down Draft, Dryer, Electric Cooktop, Energy Star Qualified Appliances, Energy Star Qualified Dishwasher, Energy Star Qualified Dryer, Energy Star Qualified Refrigerator, Energy Star Qualified Washer, Energy Star Qualified Water Heater, Exhaust Fan, Microwave, Oven, Refrigerator, Stainless Steel Appliance(s), Washer/Dryer, Water Heater-electric",249360.0,no,no,no,no,USA
18,2805A PARKER LN APT A,"Austin, TX",78741.0,1,1,578,2,Yes,"Dishwasher, Electric Range, Refrigerator",87276.0,yes,no,no,no,USA
19,507 SABINE ST APT 506,"Austin, TX",78701.0,1,1,877,1,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Microwave, Refrigerator, Washer/Dryer Stacked",199488.0,yes,no,no,no,USA
20,909 REINLI ST APT 138,"Austin, TX",78751.0,1,1,590,1,Yes,"Dishwasher, Disposal, Exhaust Fan, Microwave, Free-standing Range, Refrigerator, Self Cleaning Oven, Stainless Steel Appliance(s), Water Heater-gas",99744.0,yes,no,no,no,USA
21,2021 SIMOND AVE APT B,"Austin, TX",78723.0,2,2,"2,022",2,Yes,"Dishwasher, Disposal, Cooktop Gas, Gas Range, Microwave, Refrigerator, Tankless Water Heater",290920.0,yes,no,no,no,USA
22,,,,—,—,"1,479",No Info,No Info,,0.0,no,no,no,no,USA
23,9303 QUAIL FIELD DR # B,"Austin, TX",78758.0,2,1,"1,908",1,Yes,"Dishwasher, Disposal, Exhaust Fan, Free-standing Gas Range, Refrigerator, Water Heater-gas",118446.0,yes,no,no,no,USA
24,800 EMBASSY DR APT 425,"Austin, TX",78702.0,2,2,"1,585",2,Yes,"Cooktop, Dishwasher, Disposal, Microwave, Refrigerator",415184.0,no,no,no,no,USA
25,900 S 1ST ST UNIT 311,"Austin, TX",78704.0,2,2,"1,347",2,Yes,"Built-in Oven(s), Dishwasher, Disposal, Cooktop Gas, Microwave, Refrigerator, Wine Cooler, Wine Refrigerator",348688.0,no,no,no,no,USA
26,6201 BERKETT CV,"Austin, TX",78745.0,2,1,"1,680",2,Yes,"Dishwasher, Gas Range, Refrigerator",124264.0,yes,no,no,no,USA
27,2305 BARTON VILLAGE CIR APT 101,"Austin, TX",78704.0,2,2,"3,526",2,Yes,"Dishwasher, Gas Range, Refrigerator",140888.0,yes,no,no,no,USA
28,505 W 7TH ST APT 209,"Austin, TX",78701.0,2,3,"1,418",2,Yes,Free-standing Range,216112.0,no,no,no,no,USA
29,8405 WINTER HAVEN RD,"Austin, TX",78747.0,2,1,867,2,Yes,"Dishwasher, Disposal, Free-standing Range, Stainless Steel Appliance(s), Washer/Dryer, Water Heater-gas",137148.0,yes,no,no,no,USA
30,3400 SPEEDWAY APT 308,"Austin, TX",78705.0,1,1,618,1,Yes,"Oven, Refrigerator, Washer/Dryer",128836.0,no,no,no,no,USA
31,4307 S 1ST ST APT 108,"Austin, TX",78745.0,1,1,594,1,Yes,"Convection Oven, Dishwasher, Disposal, Electric Cooktop, Refrigerator, Water Heater-electric",116368.0,no,no,no,no,USA
32,,,,,,,,,,0.0,no,no,no,no,USA
33,5101 EVANS AVE APT 103,"Austin, TX",78751.0,1,1,425,1,Yes,"Dishwasher, Range, Refrigerator",76886.0,yes,no,no,no,USA
34,1213 ROMERIA DR,"Austin, TX",78757.0,2,1,900,3,Yes,"Dishwasher, Disposal, Gas Range, Microwave, Range, Free-standing Gas Range, Stainless Steel Appliance(s)",207800.0,yes,no,no,no,USA
35,1310 W PARMER LN # 18B,"Austin, TX",78727.0,2,3,"1,473",2,Yes,"Dishwasher, Disposal, Dryer, Exhaust Fan, Gas Range, Microwave, Free-standing Range, Refrigerator, Washer",174552.0,yes,no,no,no,USA
36,206 E 34TH ST APT C,"Austin, TX",78705.0,1,1,532,1,Yes,"Electric Range, Exhaust Fan, Free-standing Range, Refrigerator, Water Heater-electric",108056.0,no,no,no,no,USA
37,6510 CASCADA DR,"Austin, TX",78750.0,2,3,"1,839",4,Yes,"Dishwasher, Disposal, Free-standing Range, Refrigerator",224008.0,yes,no,no,no,USA
38,1507 NEWTON ST # B,"Austin, TX",78704.0,2,2,"1,045",2,Yes,"Dishwasher, Disposal, Dryer, Microwave, Free-standing Range, Refrigerator, Washer",249360.0,yes,no,no,no,USA
39,1610 GARDEN ST,"Austin, TX",78702.0,2,2,"1,778",1,Yes,"Dishwasher, Free-standing Gas Range, Refrigerator",324168.0,yes,no,no,no,USA
40,2417 LEON ST,"Austin, TX",78705.0,2,2,"1,769",2,No Info,"Built-in Oven(s), Dishwasher, Disposal, Freezer, Cooktop Gas, Microwave, Oven, Gas Oven, Refrigerator, Stainless Steel Appliance(s), Washer, Washer/Dryer",166240.0,no,no,no,no,USA
41,5 TOURNAMENT WAY UNIT 8,"The Hills, TX",78738.0,1,1,630,1,Yes,"Dishwasher, Disposal, Dryer, Electric Cooktop, Microwave, Electric Oven, Refrigerator, Washer/Dryer Stacked",130914.0,yes,no,no,no,USA
42,4600 TRUTH WAY,"Austin, TX",78725.0,2,2,"1,100",2,Yes,"Dishwasher, Disposal, Microwave, Gas Oven, Free-standing Gas Range, Refrigerator",149200.0,yes,no,no,no,USA
43,6901 WENTWORTH DR APT D,"Austin, TX",78724.0,2,2,950,2,Yes,"Cooktop Gas, Refrigerator",95588.0,no,no,no,no,USA
44,611 W 31ST ST APT B,"Austin, TX",78705.0,1,1,405,No Info,Yes,"Dryer, Gas Range, Microwave, Refrigerator, Tankless Water Heater",81042.0,no,no,no,no,USA
45,3000 PRADO ST # B,"Austin, TX",78702.0,2,1,936,2,Yes,"Dishwasher, Disposal, Cooktop Gas, Microwave, Free-standing Range, Refrigerator, Water Heater-gas",249360.0,yes,no,no,no,USA
46,601 NELRAY BLVD APT 7,"Austin, TX",78751.0,1,1,390,1,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",103900.0,yes,no,no,no,USA
47,,,,,,,,,,0.0,no,no,no,no,USA
48,2811 RIO GRANDE ST APT 303,"Austin, TX",78705.0,2,2,910,2,Yes,"Dishwasher, Disposal, Electric Range, Refrigerator",162084.0,yes,no,no,no,USA
49,6901 WENTWORTH DR APT B,"Austin, TX",78724.0,2,2,950,2,Yes,"Cooktop Gas, Refrigerator",99744.0,no,no,no,no,USA
50,2220 LEON ST APT 302,"Austin, TX",78705.0,2,2,871,2,Yes,"Dishwasher, Disposal, Electric Cooktop, Free-standing Range, Refrigerator, Washer/Dryer Stacked",149616.0,yes,no,no,no,USA
51,2408 LONGVIEW ST APT 208,"Austin, TX",78705.0,2,1,720,2,Yes,"Dishwasher, Disposal, Gas Range, Microwave, Free-standing Range, Refrigerator, Washer/Dryer Stacked",141304.0,yes,no,no,no,USA
52,98 SAN JACINTO BLVD # 904,"Austin, TX",78701.0,1,2,990,1,Yes,"Built-in Gas Range, Gas Range, Ice Maker, Microwave, Gas Oven, Refrigerator",398976.0,no,no,no,no,USA
53,1411 GRACY FARMS LN APT 96,"Austin, TX",78758.0,2,1,752,2,Yes,"Dishwasher, Microwave, Free-standing Electric Range",132576.0,yes,no,no,no,USA
54,3819 SOUTHWAY DR APT 211,"Austin, TX",78704.0,2,1,800,2,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Free-standing Range, Refrigerator, Water Heater-gas",103900.0,yes,no,no,no,USA
55,1400 W 51ST ST,"Austin, TX",78756.0,2,1,872,No Info,Yes,"Free-standing Gas Range, Refrigerator, Water Heater-gas",187020.0,no,no,no,no,USA
56,513 PECAN GROVE RD APT 106,"Austin, TX",78704.0,1,1,575,1,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Oven, Refrigerator, Stainless Steel Appliance(s), Washer/Dryer",162084.0,yes,no,no,no,USA
57,6409 BURNS ST APT 307,"Austin, TX",78752.0,2,2,829,2,Yes,"Dishwasher, Disposal, Electric Cooktop, Electric Range, Microwave, Free-standing Electric Oven, Refrigerator, Stainless Steel Appliance(s), Water Heater-electric",165824.0,yes,no,no,no,USA
58,8809 DAWNRIDGE CIR APT 103,"Austin, TX",78757.0,2,2,925,No Info,Yes,"Dishwasher, Electric Range",140888.0,yes,no,no,no,USA
